Link;Estado
http://dom.pmt.pi.gov.br/admin/upload/DOM3089-19082021-ASSINADO.pdf;PI
http://dom.manaus.am.gov.br/pdf/2014/marco/DOM%203379%2027.03.2014%20CAD%201.pdf         ;AM
https://doweb.rio.rj.gov.br/portal/edicoes/download/2232;RJ
http://dom.manaus.am.gov.br/pdf/2017/janeiro/DOM%204043%2011.01.2017%20CAD%201.pdf;AM
http://www.pmf.sc.gov.br/arquivos/diario/pdf/25_09_2013_20.54.32.f01bf9f1a8cbf65fb35be89e67d223e6.pdf;SC
http://www.dom.salvador.ba.gov.br/images/stories/pdf/2009/dezembro/DOM-5027-04-12-2009.pdf;BA
http://dom.manaus.am.gov.br/pdf/2021/junho/DOM%205122%2018.06.2021%20CAD%201.pdf;AM
http://www.goiania.go.gov.br/Download/legislacao/diariooficial/1993/do_19931210_000001060.pdf;GO
http://www.dom.salvador.ba.gov.br/images/stories/pdf/2008/novembro/dom-4773-06-11-2008.pdf;BA
http://diariooficial.palmas.to.gov.br/media/diario/877-31-10-2013.pdf;TO
http://www.goiania.go.gov.br/Download/legislacao/diariooficial/2007/do_20070823_000004189.pdf;GO
http://portal.natal.rn.gov.br/_anexos/publicacao/dom/dom_20200522_e76670dcea11f8265ac4f6d5a939f5ef.pdf;RN
http://www.dom.salvador.ba.gov.br/images/stories/pdf/2009/junho/DOM-4913-11-06-2009.pdf;BA
https://doweb.rio.rj.gov.br/portal/edicoes/download/1237;RJ
http://antigo.joaopessoa.pb.gov.br/portal/wp-content/uploads/2011/04/2011_1267.pdf;PB
http://antigo.joaopessoa.pb.gov.br/portal/wp-content/uploads/2021/05/2021_1788.pdf;PB
https://doweb.rio.rj.gov.br/portal/edicoes/download/3758;RJ
http://portal.capital.ms.gov.br/egov/downloadFile.php?id=7183&fileField=arquivo_dia_ofi&table=diario_oficial&key=id_dia_ofi&sigla_sec=diogrande;MS
http://portal.natal.rn.gov.br/_anexos/publicacao/dom/dom_20160406.pdf;RN
https://doweb.rio.rj.gov.br/portal/edicoes/download/2524;RJ
http://www.dom.salvador.ba.gov.br/images/stories/pdf/2009/outubro/DOM-4991-09-10-2009.pdf;BA
http://www.goiania.go.gov.br/Download/legislacao/diariooficial/2017/do_20170921_000006657.pdf;GO
https://doweb.rio.rj.gov.br/portal/edicoes/download/1947;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3248;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3068;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3259;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/2815;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/4213;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/4107;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3219;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/4904;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3511;RJ
http://dom.pmt.pi.gov.br/admin/upload/ANEXO_DOM1195-1-28122007.pdf;PI
https://doweb.rio.rj.gov.br/portal/edicoes/download/2877;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/972;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/271;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/1034;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/1337;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/2503;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/4630;RJ
http://www.goiania.go.gov.br/Download/legislacao/diariooficial/2019/do_20191003_000007153.pdf;GO
https://doweb.rio.rj.gov.br/portal/edicoes/download/4063;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/4226;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/4632;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/4642;RJ
http://portal.capital.ms.gov.br/egov/downloadFile.php?id=7140&fileField=arquivo_dia_ofi&table=diario_oficial&key=id_dia_ofi&sigla_sec=diogrande;MS
https://doweb.rio.rj.gov.br/portal/edicoes/download/4714;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/2953;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/4592;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3821;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/4598;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/2936;RJ
http://www.dom.salvador.ba.gov.br/images/stories/pdf/2019/dezembro/dom-7538-27-12-2019.pdf;BA
https://doweb.rio.rj.gov.br/portal/edicoes/download/4848;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/4085;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/4126;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/4903;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/2593;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/1804;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/356;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/2184;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/4855;RJ
http://portal.capital.ms.gov.br/egov/downloadFile.php?id=5396&fileField=arquivo_dia_ofi&table=diario_oficial&key=id_dia_ofi&sigla_sec=diogrande;MS
http://portal.natal.rn.gov.br/_anexos/publicacao/dom/dom_20180201_22d614bc09a3125710f95985323a71b6.pdf;RN
http://dom.manaus.am.gov.br/pdf/2019/abril/DOM%204579%2016.04.2019%20CAD%201.pdf;AM
http://www.dom.salvador.ba.gov.br/images/stories/pdf/2019/novembro/dom-7505-15-11-2019.pdf;BA
https://doweb.rio.rj.gov.br/portal/edicoes/download/4302;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3095;RJ
http://dom.pmt.pi.gov.br/admin/upload/DOM1693-10122014.pdf;PI
https://doweb.rio.rj.gov.br/portal/edicoes/download/1230;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/473;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/2252;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/1245;RJ
http://dom.pmt.pi.gov.br/admin/upload/DOM1122-1-13102006.pdf;PI
https://doweb.rio.rj.gov.br/portal/edicoes/download/4408;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/524;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/1046;RJ
http://dom.manaus.am.gov.br/pdf/2013/dezembro/DOM%203319%2026.12.2013%20CAD%201.pdf;AM
https://doweb.rio.rj.gov.br/portal/edicoes/download/3063;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/1084;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/2548;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3076;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3833;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/5075;TO
https://doweb.rio.rj.gov.br/portal/edicoes/download/5070;RJ
https://diariooficial.araguaina.to.gov.br/Arquivo/DiarioOficial/pdf/2015.pdf;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/4940;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3114;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3261;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/726;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/1769;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/1612;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/789;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/2736;RJ
http://portal.natal.rn.gov.br/_anexos/publicacao/dom/dom_20141229.pdf;RN
https://doweb.rio.rj.gov.br/portal/edicoes/download/2484;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/2409;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/2538;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3169;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3509;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/1209;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3263;RJ
http://antigo.joaopessoa.pb.gov.br/portal/wp-content/uploads/2017/10/2017_1603.pdf;PB
https://doweb.rio.rj.gov.br/portal/edicoes/download/2617;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/2963;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/2482;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/1233;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/4688;RJ
http://portal.natal.rn.gov.br/_anexos/publicacao/dom/dom_20120802.pdf;RN
http://portal.natal.rn.gov.br/_anexos/publicacao/dom/dom_20120605.pdf;RN
http://www.dom.salvador.ba.gov.br/images/stories/pdf/2019/fevereiro/dom-7306-13-02-2019.pdf;BA
https://doweb.rio.rj.gov.br/portal/edicoes/download/1004;RJ
http://portal.natal.rn.gov.br/_anexos/publicacao/dom/dom_20101028.pdf;RN
http://diariooficial.palmas.to.gov.br/media/diario/1782-26-6-2017-19-40-51.pdf;TO
http://antigo.joaopessoa.pb.gov.br/portal/wp-content/uploads/2011/09/2009_1175.pdf;PB
https://doweb.rio.rj.gov.br/portal/edicoes/download/4192;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/288;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/1553;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/1029;RJ
http://www.dom.salvador.ba.gov.br/images/stories/pdf/2018/dezembro/dom-7271-27-12-2018.pdf;BA
http://www.dom.salvador.ba.gov.br/images/stories/pdf/2018/janeiro/dom-7018-11-01-2018.pdf;BA
http://www.dom.salvador.ba.gov.br/images/stories/pdf/2016/setembro/dom-6679-17-09-2016.pdf;BA
https://doweb.rio.rj.gov.br/portal/edicoes/download/3078;RJ
http://www.goiania.go.gov.br/Download/legislacao/diariooficial/2017/do_20171204_000006704.pdf;GO
http://diariooficial.palmas.to.gov.br/media/diario/1314-5-8-2015-19-48-17.pdf;TO
http://dom.pmt.pi.gov.br/admin/upload/DOM1383-04022011.pdf-04022011.pdf-04022011;PI
https://doweb.rio.rj.gov.br/portal/edicoes/download/309;RJ
http://www.goiania.go.gov.br/Download/legislacao/diariooficial/2010/do_20100514_000004861.pdf;GO
https://doweb.rio.rj.gov.br/portal/edicoes/download/352;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/2412;RJ
http://portal.capital.ms.gov.br/egov/downloadFile.php?id=7194&fileField=arquivo_dia_ofi&table=diario_oficial&key=id_dia_ofi&sigla_sec=diogrande;MS
http://portal.capital.ms.gov.br/egov/downloadFile.php?id=3386&fileField=arquivo_dia_ofi&table=diario_oficial&key=id_dia_ofi&sigla_sec=diogrande;MS
http://antigo.joaopessoa.pb.gov.br/portal/wp-content/uploads/2017/10/2017_1601.pdf;PB
http://www.dom.salvador.ba.gov.br/images/stories/pdf/2001/outubro/DOM-3082-31-10-2001.pdf;BA
https://doweb.rio.rj.gov.br/portal/edicoes/download/3481;RJ
http://www.dom.salvador.ba.gov.br/images/stories/pdf/2002/maio/DOM-3211-17-05-2002.pdf;BA
http://www.maceio.al.gov.br/wp-content/uploads/2017/03/pdf/2017/03/Diario_Oficial_16_03_17_PDF.pdf;AL
https://doweb.rio.rj.gov.br/portal/edicoes/download/2681;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/2288;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3503;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3682;RJ
http://antigo.joaopessoa.pb.gov.br/portal/wp-content/uploads/2019/10/2019_1707.pdf;PB
https://doweb.rio.rj.gov.br/portal/edicoes/download/3291;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/1709;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3171;RJ
http://www.pmf.sc.gov.br/arquivos/diario/pdf/29_01_2018_18.32.44.f3360bad8463c10b99f92433f960a704.pdf;SC
http://antigo.joaopessoa.pb.gov.br/portal/wp-content/uploads/2019/11/2019_1710.pdf;PB
https://doweb.rio.rj.gov.br/portal/edicoes/download/4013;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/1261;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/2858;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3725;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/2530;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/4144;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/1045;RJ
http://diariooficial.palmas.to.gov.br/media/diario/2544-31-7-2020-20-18-9.pdf;TO
https://diariooficial.araguaina.to.gov.br/Arquivo/DiarioOficial/pdf/2168.pdf;TO
http://portal.capital.ms.gov.br/egov/downloadFile.php?id=8062&fileField=arquivo_dia_ofi&table=diario_oficial&key=id_dia_ofi&sigla_sec=diogrande;MS
https://diariooficial.araguaina.to.gov.br/Arquivo/DiarioOficial/pdf/1422.pdf;TO
http://portal.natal.rn.gov.br/_anexos/publicacao/dom/dom_20190312_be4ee7db98c802de35ab0c58b725010e.pdf;RN
https://doweb.rio.rj.gov.br/portal/edicoes/download/682;RJ
https://doweb.rio.rj.gov.br/portal/edicoes/download/3191;RJ
http://dom.pmt.pi.gov.br/admin/upload/DOM2300-13062018-ASSINADO.pdf;PI
http://portal.capital.ms.gov.br/egov/downloadFile.php?id=4884&fileField=arquivo_dia_ofi&table=diario_oficial&key=id_dia_ofi&sigla_sec=diogrande;MS
http://dom.pmt.pi.gov.br/admin/upload/DOM2496-04042019-ASSINADO.pdf;PI
https://doweb.rio.rj.gov.br/portal/edicoes/download/2910;RJ
http://portal.natal.rn.gov.br/_anexos/publicacao/dom/dom_20190110_c22a1ca1a785d1394940a328393fd8f9.pdf;RN
http://dom.pmt.pi.gov.br/admin/upload/DOM2653-21112019-ASSINADO.pdf;PI
http://antigo.joaopessoa.pb.gov.br/portal/wp-content/uploads/2012/01/2011_1302.pdf;PB
http://www.dom.salvador.ba.gov.br/images/stories/pdf/2014/maio/dom-6099-22-05-2014.pdf;BA
http://dom.pmt.pi.gov.br/admin/upload/DOM2656-26112019-ASSINADO.pdf;PI
http://dom.pmt.pi.gov.br/admin/upload/DOM2673-19122019-ASSINADO.pdf;PI
http://dom.pmt.pi.gov.br/admin/upload/DOM1237-1-05092008.pdf;PI
https://diariooficial.araguaina.to.gov.br/Arquivo/DiarioOficial/pdf/1527.pdf;TO
http://dom.manaus.am.gov.br/pdf/2019/outubro/DOM%204707%2022.10.2019%20CAD%201.pdf;AM
http://dom.manaus.am.gov.br/pdf/2007/novembro/dom20071849cad1.pdf;AM
http://diariooficial.palmas.to.gov.br/media/diario/2673-9-2-2021-20-17-33.pdf;TO
http://www.pmf.sc.gov.br/arquivos/diario/pdf/29_06_2018_17.55.09.d2e337b68e2e7409094954c1153687c2.pdf;SC
https://doweb.rio.rj.gov.br/portal/edicoes/download/868;RJ
http://www.dom.salvador.ba.gov.br/images/stories/pdf/2008/novembro/dom-4773-06-11-2008.pdf;BA
http://diariooficial.palmas.to.gov.br/media/diario/877-31-10-2013.pdf;TO
http://www.goiania.go.gov.br/Download/legislacao/diariooficial/2007/do_20070823_000004189.pdf;GO
http://portal.natal.rn.gov.br/_anexos/publicacao/dom/dom_20200522_e76670dcea11f8265ac4f6d5a939f5ef.pdf;RN
;
